beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.01598195675101758,0.00779330419140904,0.00010624214893955483,block,0.75
20,0.02959220545187166,0.008394272048541873,0.0004699128603549503,block,0.75
