beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.01770533416634868,0.008927428745964895,0.00010431575499390815,modified,0.75
20,0.028663785095648438,0.004913032232887818,0.0005701909624898842,modified,0.75
