rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.5,0.0006492370840004332,1.0125294049374747,0.0,0.10593370941539673,-0.28900702391321104,-0.29256933872521157,0.0023923377049264154,0.0,213,False,0.046948356807511735
1,modified,0.5,0.0005318794532877392,0.7288640911483414,0.0,0.07500333781726648,-0.03192911967011318,-0.03210942608868359,0.001215346302450068,0.0,215,False,0.041666666666666664
2,modified,0.5,0.0005777190390490913,0.8470808759291019,0.0,0.12491472838241804,0.23150292686183765,0.23150292686183765,0.0026728789867758286,0.0,224,False,0.044642857142857144
3,modified,0.5,0.00059679211663871,1.296601459439864,0.1,0.14417231344826026,-0.17375396879464494,-0.17375396879464494,0.0041525039793603715,0.0,216,False,0.041474654377880185
4,modified,0.5,0.0007918286198379532,0.7588480503182855,0.0,0.09255901893125987,-0.06779067825165039,-0.07389582894208749,0.0017101014325821503,0.0,213,False,0.04205607476635514
5,modified,0.5,0.0007034559168162556,1.001022497907011,0.0,0.09342497384130327,0.15581919320635704,0.14900833274329478,0.0019606065671606476,0.0,211,False,0.04245283018867924
6,modified,0.5,0.0005838787165944571,1.0946330966084392,0.1,0.09789387486552145,-0.5419089282779332,-0.5393923288254051,0.0017219113573779192,0.0,207,False,0.04830917874396135
7,modified,0.5,0.0006198890708491141,0.7619453080674341,0.1,0.08099223559864548,-0.11492761137329532,-0.10693522223504633,0.0018346713240886031,0.0,221,False,0.03587443946188341
8,modified,0.5,0.000732316285224605,1.1576518640741438,0.0,0.1039814308386146,-0.25445179800418016,-0.25445179800418016,0.002895833842340572,0.0,210,False,0.03286384976525822
9,modified,0.5,0.000848318987377781,1.539325819695376,0.0,0.08762503743075475,-0.10366808502820435,-0.10366808502820435,0.0020787329106439567,0.0,214,False,0.037037037037037035
