beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.011245487754414267,0.003852101564416724,5.818378654503175e-05,wild,0.25
20,0.00567855742599594,0.0018912563068809395,1.7910830069191133e-05,wild,0.25
