rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.75,0.0006492370840004332,1.0125294049374747,0.0,0.017972471318172225,-0.28900702391321104,-0.28900702391321104,6.287552266477e-05,0.0,213,False,0.046948356807511735
1,naive,0.75,0.0006124035555117694,0.7288640911483414,0.0,0.008928472553936041,-0.03156425577098658,-0.03156425577098658,1.6680092176098022e-05,0.0,213,False,0.04205607476635514
2,naive,0.75,0.0005017555562468372,0.8470808759291019,0.0,0.006619102888533598,0.2315142970005708,0.2315142970005708,8.97666501823836e-06,0.0,223,False,0.04484304932735426
3,naive,0.75,0.0006871436974521038,1.296601459439864,0.0,0.011876149278523573,-0.19036431444011667,-0.19036431444011667,2.978038099267812e-05,0.0,208,False,0.0430622009569378
4,naive,0.75,0.0005187495409945282,0.7588480503182855,0.0,0.006793398611969528,-0.06866924521920105,-0.06866924521920105,9.479461015775297e-06,0.0,222,False,0.04035874439461883
5,naive,0.75,0.0007034559168162556,1.001022497907011,0.0,0.01874927754942236,0.15581919320635704,0.15581919320635704,8.747127410371065e-05,0.0,211,False,0.04245283018867924
6,naive,0.75,0.0005838787165944571,1.0946330966084392,0.0,0.015952421219629243,-0.5419089282779332,-0.5419089282779332,5.909983975895898e-05,0.0,207,False,0.04830917874396135
7,naive,0.75,0.0006198890708491141,0.7619453080674341,0.0,0.008368800458804343,-0.11492761137329532,-0.11492761137329532,1.6188187366246567e-05,0.0,221,False,0.03587443946188341
8,naive,0.75,0.0006360250229009087,1.1576518640741438,0.0,0.008628730954994385,-0.25421249728459994,-0.25421249728459994,1.6907040422008896e-05,0.0,211,False,0.03755868544600939
9,naive,0.75,0.0006398971973814011,1.539325819695376,0.0,0.006736965611383369,-0.10489565414062504,-0.10489565414062504,1.0011896432828737e-05,0.0,215,False,0.03686635944700461
