beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.4769598401731151,2.9741416076467644e-05,0.22746232074947156,naive,0.75
20,0.24153737876589437,1.7018712157640055e-05,0.058332084576488585,naive,0.75
