beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.012760615351899873,0.005512633675222275,7.140316948085748e-05,block,0.75
20,0.006680766997400897,0.0019597674207874486,3.142094238621744e-05,block,0.75
