rep,method,lambda_val,threshold_val,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
24,modified,0.1,0.25,11.124418216862805,0.4,0.7591838039949044,0.22939789678622677,0.24916698222185193,0.05647890949585038,0.0,144,False,0.06944444444444445
25,modified,0.1,0.25,15.00813972838846,0.5,0.7853894755914314,0.11775029065807092,0.11775029065807092,0.05840975384654288,0.0,137,False,0.072992700729927
26,modified,0.1,0.25,12.765267440638697,0.4,0.772155106239279,-0.10440393488909087,-0.10440393488909087,0.059195161451357205,0.0,148,False,0.06040268456375839
27,modified,0.1,0.25,8.409571279246427,0.6,0.9213363390714638,0.2664524114451169,0.2664524114451169,0.08128761033288455,0.0,156,False,0.0641025641025641
28,modified,0.1,0.25,9.240841031456199,0.4,0.8570313062216695,0.39051791808410397,0.39051791808410397,0.06922676673038124,0.0,151,False,0.06622516556291391
29,modified,0.1,0.25,7.927493697261631,0.5,0.8841768535406468,-0.06778164268051609,-0.06778164268051609,0.07219412733373906,0.0,153,False,0.06535947712418301
30,modified,0.1,0.25,8.74437346411847,0.2,0.8661712018962076,-0.22228118096353403,-0.22228118096353403,0.07123378266557631,0.0,143,False,0.06993006993006994
31,modified,0.1,0.25,8.850404246808028,0.3,0.7727041386847311,0.21339117072220137,0.21616634233469484,0.05889609115942901,0.0,147,False,0.06802721088435375
32,modified,0.1,0.25,10.92989165890438,0.2,0.8018870426341916,-0.0768279112120154,-0.0768279112120154,0.06068612717440465,0.0,140,False,0.07142857142857142
33,modified,0.1,0.25,15.819438542848347,0.5,0.6840000910798509,0.22608537807047532,0.22608537807047532,0.046069857911806664,0.0,137,False,0.06521739130434782
34,modified,0.1,0.25,13.617155748450104,0.3,0.8058462879900917,0.1053593017865635,0.1053593017865635,0.06106543157682863,0.0,150,False,0.06666666666666667
35,modified,0.1,0.25,11.748355751718115,0.5,0.8181535354724089,-0.044086051305414056,-0.044086051305414056,0.06140347378933938,0.0,137,False,0.072992700729927
36,modified,0.1,0.25,11.179763520479195,0.3,0.7622095233757158,0.0609016501550233,0.08588628581637343,0.05592256705312924,0.0,148,False,0.06756756756756757
37,modified,0.1,0.25,8.860408728893326,0.4,0.8239148582887372,0.2432726736813907,0.2628137531771334,0.06886797459422477,0.0,150,False,0.06666666666666667
38,modified,0.1,0.25,10.736203676203155,0.3,0.7975768824638048,-0.23721559188573343,-0.23721559188573343,0.06071083929393879,0.0,141,False,0.07092198581560284
39,modified,0.1,0.25,9.716524526742715,0.3,0.8462905727771795,0.28764553149118005,0.28764553149118005,0.06788693860583053,0.0,151,False,0.06622516556291391
