rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.25,0.15674885495416313,12.4362712627539,0.0,0.09147357284600999,0.007794164488447624,0.007794164488447624,0.003436757438918537,0.0,16,False,0.3684210526315789
1,modified,0.25,0.12601680262102408,10.801688621560341,0.0,0.09694916993209539,0.007748990225282108,0.008929303601760679,0.0023604346308607653,0.0,28,False,0.26666666666666666
2,modified,0.25,0.14561738029180946,9.333455684208793,0.0,0.08823456574990192,0.014550855649372202,0.015612785476359147,0.0025822932152854403,0.0,24,False,0.25925925925925924
3,modified,0.25,0.10873753175301992,10.916157623890815,0.0,0.08669747333669695,0.060498449382392516,0.062259664341898904,0.0018283814119249308,0.0,30,False,0.25
4,modified,0.25,0.10810267948618424,8.834647069890359,0.1,0.1003458526406356,-0.006488654265266754,-0.006488654265266754,0.002657174214946067,0.0,42,False,0.15555555555555556
5,modified,0.25,0.10339261740897711,9.276758208529158,0.1,0.09619778552972402,0.04907675013102795,0.050815045539373306,0.0023895165211499764,0.0,42,False,0.23809523809523808
6,modified,0.25,0.143649051488237,9.447085324367041,0.0,0.10995147969567531,0.02081548867246035,0.020682974697824874,0.002991468290046254,0.0,17,False,0.42105263157894735
7,modified,0.25,0.07001388482914425,10.28661211661408,0.4,0.12361212706145253,0.011336888517317532,0.011336888517317532,0.0031836179278622,0.0,51,False,0.17307692307692307
8,modified,0.25,0.10567046068781401,8.795026943588766,0.0,0.11025094091557323,0.007411688282085075,0.009262006374470886,0.0033987433244066396,0.0,37,False,0.23684210526315788
9,modified,0.25,0.10723273067260793,15.417539658243776,0.0,0.08159172929819794,0.014494824783174065,0.014494824783174065,0.001967854542875648,0.0,26,False,0.2857142857142857
