rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,block,0.5,0.10269065113550796,12.4362712627539,0.1,0.08751201836831698,0.0024987412763438368,-0.00034890917807374884,0.002140252023058422,0.0,36,False,0.21052631578947367
1,block,0.5,0.1450951667756761,10.801688621560341,0.0,0.10403430927079774,0.010544892889327449,0.010544892889327449,0.0032940872233452193,0.0,21,False,0.2916666666666667
2,block,0.5,0.16766318172995912,9.333455684208793,0.0,0.08809781773524245,0.014814463077580848,0.01029441749506477,0.0029840417276191184,0.0,16,False,0.3
3,block,0.5,0.08202202574058642,10.916157623890815,0.2,0.09326325397541525,0.052884346061422546,0.056454276600769605,0.0026274180442061985,0.0,48,False,0.16
4,block,0.5,0.12446892781525407,8.834647069890359,0.2,0.10452264588670479,-0.007142738341425646,-0.002386132475135068,0.0037441454668061614,0.0,32,False,0.2
5,block,0.5,0.08979766418161873,9.276758208529158,0.2,0.08234290876267396,0.05097736247229898,0.05443620500506752,0.0019255352521197638,0.0,54,False,0.18518518518518517
6,block,0.5,0.143649051488237,9.447085324367041,0.0,0.10331631331233707,0.02081548867246035,0.020682974697824874,0.002911669045824171,0.0,17,False,0.42105263157894735
7,block,0.5,0.14167937253727778,10.28661211661408,0.0,0.08198254346540662,0.014524369736556502,0.01967902501777192,0.002205499230977729,0.0,24,False,0.36
8,block,0.5,0.12166848228065524,8.795026943588766,0.1,0.11000775923141622,0.008974431650240648,0.005967048156534286,0.0032538699496927363,0.0,28,False,0.3103448275862069
9,block,0.5,0.10723273067260793,15.417539658243776,0.0,0.09602396022776119,0.014494824783174065,0.023599323397203397,0.0027096735244933473,0.0,26,False,0.2857142857142857
