beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.0014861717791027232,0.0,2.2087065570013532e-06,block,0.5
20,0.004370435835583914,0.0004649675369381181,1.6381745328848147e-05,block,0.5
