beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.39883247086240853,0.028424555809913193,0.13940613126953633,modified,0.75
20,0.24632654485652017,0.005444902996643874,0.05803779991953941,modified,0.75
