rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,wild,0.5,0.0009910071499747177,1.0125294049374747,0.1,0.11357979690552611,-0.29361621559666196,-0.2966590184254301,0.002612142450019361,0.0,213,False,0.046948356807511735
1,wild,0.5,0.0005318794532877392,0.7288640911483414,0.1,0.06911259028345719,-0.03192911967011318,-0.03210942608868359,0.0010026299548620775,0.0,215,False,0.041666666666666664
2,wild,0.5,0.0005017555562468372,0.8470808759291019,0.0,0.09840040350219814,0.2315142970005708,0.2315142970005708,0.001724162420390541,0.0,223,False,0.04484304932735426
3,wild,0.5,0.5967921166387101,1.296601459439864,0.0,0.21434393828801185,-0.23314283361607008,-0.22706022836403278,0.021478158569850515,0.0,21,False,0.2916666666666667
4,wild,0.5,0.0006877121623910984,0.7588480503182855,0.0,0.08679121002180948,-0.06471589358107706,-0.06977829123288923,0.0017447218044977474,0.0,216,False,0.041474654377880185
5,wild,0.5,0.0007034559168162556,1.001022497907011,0.0,0.10408119707005932,0.15581919320635704,0.14900833274329478,0.002423754448969048,0.0,211,False,0.04245283018867924
6,wild,0.5,0.5838787165944573,1.0946330966084392,0.0,0.27016104907866645,-0.2626408975241999,-0.2626408975241999,0.028512163906571058,0.0,33,False,0.22857142857142856
7,wild,0.5,0.0007137374242684166,0.7619453080674341,0.1,0.10600479502063262,-0.11240468445658305,-0.10506829638386642,0.0030234900282103037,0.0,215,False,0.03686635944700461
8,wild,0.5,0.0006360250229009087,1.1576518640741438,0.0,0.0951367145012421,-0.25421249728459994,-0.2545445011205682,0.002022291663351727,0.0,211,False,0.03755868544600939
9,wild,0.5,0.000848318987377781,1.539325819695376,0.0,0.10635221964750288,-0.10366808502820435,-0.10366808502820435,0.002476134254980506,0.0,214,False,0.037037037037037035
