beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.013424991872775687,0.007567952030830272,8.58768077314843e-05,block,0.75
20,0.010213102043030654,0.0032001023510761966,6.718692932206051e-05,block,0.75
