rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,modified,0.25,0.0005638697917155382,1.0125294049374747,0.0,0.040771107206397525,-0.28242665584982196,-0.28244119188164074,0.0003280886979843614,0.0,219,False,0.045662100456621
1,modified,0.25,0.0005318794532877392,0.7288640911483414,0.0,0.026975461706384755,-0.03192911967011318,-0.03210942608868359,0.00016392740577380135,0.0,215,False,0.041666666666666664
2,modified,0.25,0.0005017555562468372,0.8470808759291019,0.0,0.048612100011167635,0.2315142970005708,0.2315142970005708,0.00044263642409750407,0.0,223,False,0.04484304932735426
3,modified,0.25,0.00059679211663871,1.296601459439864,0.1,0.049693554178255134,-0.17375396879464494,-0.17375396879464494,0.0005415872740057592,0.0,216,False,0.041474654377880185
4,modified,0.25,0.0009117078299364303,0.7588480503182855,0.0,0.05082890394041824,-0.06918029386193279,-0.06918029386193279,0.00048448718766951813,0.0,215,False,0.041666666666666664
5,modified,0.25,0.001073767750544059,1.001022497907011,0.1,0.06459107411346891,0.15638044657848088,0.15638044657848088,0.0007913787808422465,0.0,208,False,0.0430622009569378
6,modified,0.25,0.000672275268051489,1.0946330966084392,0.0,0.037389045527692996,-0.54240831230065,-0.5398283373630479,0.0002743238773528331,0.0,206,False,0.04854368932038835
7,modified,0.25,0.0006198890708491141,0.7619453080674341,0.1,0.033446762473418636,-0.11492761137329532,-0.11134504808687003,0.0003618456205810896,0.0,221,False,0.03587443946188341
8,modified,0.25,0.000732316285224605,1.1576518640741438,0.0,0.0351340785134256,-0.25445179800418016,-0.25445179800418016,0.0002905555000722652,0.0,210,False,0.03286384976525822
9,modified,0.25,0.0009767505792280472,1.539325819695376,0.0,0.03287649566695612,-0.10330183310034453,-0.10330183310034453,0.00024944833307551095,0.0,211,False,0.03755868544600939
