beta_index,mc_variance,boot_variance_mean,mse_boot_variance,method,alpha_th
5,0.010190075472082415,0.0047765168975504296,3.55285146366318e-05,modified,0.5
20,0.00600508995847167,0.001892947771666086,1.9553215514255477e-05,modified,0.5
