rep,method,alpha_th,lambda_star,snr,mean_coverage,mean_ci_length,bias_hat,bias_tilde,var_boot_mean,mse_var_boot,support_size,perfect_match,jaccard
0,naive,0.25,0.0008000646619826116,27.42329433444789,0.0,0.015270468011388243,-0.0351694239314112,-0.0351694239314112,4.5064341220320846e-05,0.0,216,False,0.046296296296296294
1,naive,0.25,0.0007847796545034249,20.47798708117008,0.0,0.009748752221196033,-0.02509678427388422,-0.02509678427388422,1.7119874573158038e-05,0.0,218,False,0.045871559633027525
2,naive,0.25,0.0007444336872878366,15.299233120390578,0.1,0.013579590349058767,-0.016865606647795933,-0.016865606647795933,3.330196646742124e-05,0.0,205,False,0.04878048780487805
3,naive,0.25,0.0007773297619278843,17.526616198945337,0.0,0.011009108988829803,0.00795650412069569,0.00795650412069569,2.1186841001104108e-05,0.0,213,False,0.046948356807511735
4,naive,0.25,0.0007452943399974785,17.627431975734492,0.1,0.01034930297350627,-0.017881257410380724,-0.017881257410380724,2.0368703931473433e-05,0.0,214,False,0.04186046511627907
5,naive,0.25,0.0007876782904177205,23.504665558521634,0.0,0.009894396905731689,0.007358452698196127,0.007358452698196127,1.807710040659976e-05,0.0,217,False,0.04608294930875576
6,naive,0.25,0.0007983465963720863,18.987156969179214,0.1,0.015052686976108082,-0.1329330922660504,-0.1329330922660504,4.336071777264507e-05,0.0,211,False,0.04739336492890995
7,naive,0.25,0.0007922389408084686,21.255227146418243,0.0,0.010833525232158673,-0.022918026533704616,-0.022918026533704616,2.1027746075410745e-05,0.0,223,False,0.04484304932735426
8,naive,0.25,0.0009222150499799603,19.611574954253495,0.0,0.017241574261775916,-0.0057203607777359475,-0.0057203607777359475,6.184579484795873e-05,0.0,212,False,0.04716981132075472
9,naive,0.25,0.0007747463541426377,31.331616227511333,0.1,0.012184282721656909,-0.04138939582378509,-0.04138939582378509,2.5755126654049163e-05,0.0,214,False,0.04672897196261682
